date,currency,rate_to_usd
2019-06-12,CZK,0.04415372
2019-06-17,CZK,0.04415034
2019-06-18,CZK,0.04415111
2019-06-19,CZK,0.04415024
2019-06-24,CZK,0.04415122
2019-06-26,CZK,0.04415011
2019-07-02,CZK,0.0438787
2019-07-03,CZK,0.04387877
2019-07-15,CZK,0.04387885
2019-07-17,CZK,0.04387878
2019-07-22,CZK,0.04387966
2019-07-23,CZK,0.04387895
2019-07-25,CZK,0.04387888
2019-07-29,CZK,0.04387921
2019-07-30,CZK,0.04387903
2019-08-06,CZK,0.04310318
2019-08-07,CZK,0.04310344
2019-08-13,CZK,0.04310357
2019-08-14,CZK,0.0431035
2019-08-19,CZK,0.04310334
2019-08-20,CZK,0.04310347
2019-08-22,CZK,0.04310273
2019-08-28,CZK,0.04310342
2019-09-03,CZK,0.04258963
2019-09-04,CZK,0.04258952
2019-09-11,CZK,0.04258913
2019-09-12,CZK,0.04258939
2019-09-16,CZK,0.04258949
2019-09-17,CZK,0.04258953
2019-09-19,CZK,0.04258945
2019-09-24,CZK,0.04258948
2019-09-25,CZK,0.04258927
2019-10-03,CZK,0.04306635
2019-10-10,CZK,0.04306639
2019-10-15,CZK,0.04306572
2019-10-16,CZK,0.04306627
2019-10-21,CZK,0.04306655
2019-10-22,CZK,0.0430663
2019-10-23,CZK,0.04306628
2019-11-04,CZK,0.04329014
2019-11-05,CZK,0.04329022
2019-11-07,CZK,0.04329002
2019-11-08,CZK,0.04328925
2019-11-18,CZK,0.04328921
2019-11-19,CZK,0.04328983
2019-11-20,CZK,0.04329028
2019-11-25,CZK,0.04329
2019-11-27,CZK,0.04329004
2019-11-28,CZK,0.04329021
2019-12-04,CZK,0.04361039
2019-12-09,CZK,0.0436111
2019-12-12,CZK,0.04361099
2019-12-18,CZK,0.04361106
2020-01-06,CZK,0.04403352
2020-01-07,CZK,0.04403386
2020-01-13,CZK,0.04403512
2020-01-20,CZK,0.04403371
2020-01-22,CZK,0.04403345
2020-01-24,CZK,0.04403323
2020-01-29,CZK,0.04403342
2020-01-30,CZK,0.04403303
2020-02-04,CZK,0.04353524
2020-02-05,CZK,0.04353481
2020-02-10,CZK,0.04353518
2020-02-11,CZK,0.04353458
2020-02-13,CZK,0.04353529
2020-02-20,CZK,0.04353495
2020-02-21,CZK,0.04353492
2020-02-24,CZK,0.04353525
2020-02-25,CZK,0.04353524
2020-02-26,CZK,0.04353516
2020-03-03,CZK,0.04159871
2020-03-04,CZK,0.04159814
2020-03-05,CZK,0.04159727
2020-03-10,CZK,0.04159742
2020-03-19,CZK,0.04159731
2020-03-20,CZK,0.04159705
2020-03-30,CZK,0.04159708
2020-03-31,CZK,0.04159732
2020-04-01,CZK,0.03985655
2020-04-02,CZK,0.03985655
2020-04-06,CZK,0.03985663
2020-04-07,CZK,0.03985629
2020-04-08,CZK,0.03985704
2020-04-14,CZK,0.03985663
2020-04-15,CZK,0.03985665
2020-04-22,CZK,0.03985658
2020-04-27,CZK,0.03985652
2020-04-29,CZK,0.03985658
2020-04-30,CZK,0.03985688
2020-05-04,CZK,0.04001624
2020-05-13,CZK,0.04001601
2020-05-14,CZK,0.04001639
2020-05-15,CZK,0.04001591
2020-05-19,CZK,0.04001596
2020-05-21,CZK,0.04001613
2020-05-25,CZK,0.04001594
2020-05-26,CZK,0.04001511
2020-05-27,CZK,0.0400161
2020-06-02,CZK,0.04221208
2020-06-08,CZK,0.04221191
2020-06-10,CZK,0.04221157
2020-06-11,CZK,0.0422113
2020-06-15,CZK,0.04221176
2020-06-22,CZK,0.0422118
2020-06-23,CZK,0.0422118
2020-06-25,CZK,0.0422115
2020-06-29,CZK,0.04221187
2020-07-01,CZK,0.04321511
2020-07-08,CZK,0.04321573
2020-07-14,CZK,0.04321611
2020-07-15,CZK,0.04321496
2020-07-16,CZK,0.04321664
2020-07-22,CZK,0.04321539
2020-07-23,CZK,0.04321509
2020-07-24,CZK,0.04321466
2020-07-29,CZK,0.0432155
2020-07-31,CZK,0.0432151
2020-08-03,CZK,0.04520797
2020-08-05,CZK,0.04520772
2020-08-06,CZK,0.0452081
2020-08-17,CZK,0.04520761
2020-08-20,CZK,0.04520796
2020-08-27,CZK,0.04520801
2020-08-28,CZK,0.04520795
2020-08-31,CZK,0.04520782
2020-09-01,CZK,0.0440729
2020-09-02,CZK,0.0440719
2020-09-04,CZK,0.04407191
2020-09-07,CZK,0.0440724
2020-09-10,CZK,0.04407214
2020-09-14,CZK,0.04407255
2020-09-15,CZK,0.04407238
2020-09-18,CZK,0.04407248
2020-09-21,CZK,0.04407248
2020-09-23,CZK,0.04407178
2020-09-29,CZK,0.04407225
2020-10-05,CZK,0.04325231
2020-10-07,CZK,0.04325263
2020-10-08,CZK,0.04325274
2020-10-13,CZK,0.04325272
2020-10-14,CZK,0.04325228
2020-10-15,CZK,0.04325264
2020-10-19,CZK,0.04325134
2020-10-26,CZK,0.0432522
2020-10-29,CZK,0.04325255
2020-11-02,CZK,0.04476278
2020-11-03,CZK,0.0447626
2020-11-06,CZK,0.04476269
2020-11-09,CZK,0.0447632
2020-11-11,CZK,0.04476156
2020-11-18,CZK,0.04476251
2020-11-23,CZK,0.04476264
2020-11-25,CZK,0.04476292
2020-11-26,CZK,0.04476303
2020-11-27,CZK,0.04476287
2020-11-30,CZK,0.04476265
2020-12-02,CZK,0.04631782
2020-12-03,CZK,0.04631698
2020-12-10,CZK,0.0463144
2020-12-14,CZK,0.04631772
2020-12-15,CZK,0.04631807
2020-12-16,CZK,0.04631768
2020-12-21,CZK,0.04631781
2020-12-28,CZK,0.04631786
2021-01-05,CZK,0.04655485
2021-01-11,CZK,0.04655522
2021-01-18,CZK,0.04655502
2021-01-25,CZK,0.04655486
2021-01-27,CZK,0.04655499
2021-02-01,CZK,0.04675106
2021-02-02,CZK,0.04675083
2021-02-08,CZK,0.04675056
2021-02-09,CZK,0.04675072
2021-02-10,CZK,0.0467509
2021-02-23,CZK,0.04675054
2021-02-24,CZK,0.04675078
2021-02-25,CZK,0.04675059
2021-03-08,CZK,0.04545556
2021-03-09,CZK,0.04545485
2021-03-15,CZK,0.04545464
2021-03-17,CZK,0.04545483
2021-03-24,CZK,0.04545442
2021-03-29,CZK,0.04545471
2021-03-30,CZK,0.04545478
2021-03-31,CZK,0.0454544
2021-04-06,CZK,0.04612554
2021-04-08,CZK,0.04612569
2021-04-12,CZK,0.04612547
2021-04-14,CZK,0.04612542
2021-04-19,CZK,0.04612549
2021-04-26,CZK,0.04612545
2021-04-29,CZK,0.0461256
2021-05-05,CZK,0.04755105
2021-05-11,CZK,0.04755104
2021-05-12,CZK,0.04755052
2021-05-13,CZK,0.04755082
2021-05-17,CZK,0.04755118
2021-05-19,CZK,0.04755108
2021-05-31,CZK,0.04755115
2021-06-01,CZK,0.04728129
2021-06-02,CZK,0.04728145
2021-06-09,CZK,0.047282
2021-06-10,CZK,0.04728176
2021-06-15,CZK,0.04728154
2021-06-16,CZK,0.04728126
2021-06-22,CZK,0.04728108
2021-06-23,CZK,0.0472812
2021-06-29,CZK,0.04728123
2021-06-30,CZK,0.04728146
2021-07-08,CZK,0.04616796
2021-07-12,CZK,0.04616811
2021-07-14,CZK,0.04616759
2021-07-19,CZK,0.04616818
2021-07-20,CZK,0.04616802
2021-07-22,CZK,0.04616814
2021-07-23,CZK,0.04616899
2021-07-28,CZK,0.04616819
2021-08-04,CZK,0.04623214
2021-08-05,CZK,0.04623217
2021-08-12,CZK,0.04623217
2021-08-13,CZK,0.04623234
2021-08-17,CZK,0.04623199
2021-08-23,CZK,0.04623214
2021-08-24,CZK,0.04623219
2021-08-30,CZK,0.04623236
2021-09-07,CZK,0.04636088
2021-09-14,CZK,0.04636066
2021-09-15,CZK,0.04636063
2021-09-21,CZK,0.04636124
2021-09-22,CZK,0.04635936
2021-10-04,CZK,0.04547517
2021-10-05,CZK,0.04547539
2021-10-06,CZK,0.04547561
2021-10-11,CZK,0.04547543
2021-10-12,CZK,0.04547501
2021-10-13,CZK,0.04547509
2021-10-14,CZK,0.04547535
2021-10-18,CZK,0.0454745
2021-10-21,CZK,0.04547529
2021-10-25,CZK,0.04547535
2021-10-26,CZK,0.04547513
2021-11-02,CZK,0.04492318
2021-11-03,CZK,0.04492451
2021-11-09,CZK,0.04492393
2021-11-10,CZK,0.04492371
2021-11-18,CZK,0.04492412
2021-11-22,CZK,0.04492369
2021-11-24,CZK,0.04492371
2021-11-26,CZK,0.04492374
2021-11-29,CZK,0.04492342
2021-11-30,CZK,0.0449237
2021-12-01,CZK,0.04480201
2021-12-06,CZK,0.04480282
2021-12-08,CZK,0.04480288
2021-12-13,CZK,0.04480293
2021-12-15,CZK,0.04480279
2021-12-27,CZK,0.04480273
2022-01-05,CZK,0.04623179
2022-01-12,CZK,0.04623221
2022-01-17,CZK,0.04623251
2022-01-19,CZK,0.04623223
2022-01-24,CZK,0.04623196
2022-01-25,CZK,0.0462337
2022-02-02,CZK,0.04636059
2022-02-09,CZK,0.04636064
2022-02-14,CZK,0.04636063
2022-02-18,CZK,0.04636027
2022-02-23,CZK,0.04636097
2022-02-24,CZK,0.04636073
2022-03-02,CZK,0.04403337
2022-03-08,CZK,0.04403375
2022-03-09,CZK,0.04403359
2022-03-15,CZK,0.04403416
2022-03-16,CZK,0.04403297
2022-03-22,CZK,0.04403399
2022-03-23,CZK,0.04403405
2022-03-29,CZK,0.0440328
2022-03-30,CZK,0.04403364
2022-03-31,CZK,0.04403332
2022-04-04,CZK,0.04426733
2022-04-05,CZK,0.04426638
2022-04-06,CZK,0.04426773
2022-04-07,CZK,0.04426737
2022-04-12,CZK,0.04426782
2022-04-19,CZK,0.04426746
2022-04-21,CZK,0.04427748
2022-04-26,CZK,0.04426737
2022-04-27,CZK,0.04426746
2022-05-03,CZK,0.04271716
2022-05-04,CZK,0.04271677
2022-05-09,CZK,0.04271699
2022-05-10,CZK,0.04271647
2022-05-11,CZK,0.0427167
2022-05-17,CZK,0.04271681
2022-05-18,CZK,0.04271697
2022-05-23,CZK,0.04271694
2022-05-24,CZK,0.04271675
2022-05-30,CZK,0.04271746
2022-06-07,CZK,0.04275274
2022-06-08,CZK,0.04275336
2022-06-09,CZK,0.04275362
2022-06-21,CZK,0.04275334
2022-06-22,CZK,0.04275339
2022-06-28,CZK,0.04275337
2022-06-29,CZK,0.04275325
2022-06-30,CZK,0.04275356
2022-07-12,CZK,0.04145916
2022-07-13,CZK,0.04145945
2022-07-14,CZK,0.04146002
2022-07-15,CZK,0.04145938
2022-07-18,CZK,0.0414595
2022-07-25,CZK,0.04145935
2022-07-27,CZK,0.04145938
2022-08-01,CZK,0.04122071
2022-08-02,CZK,0.04122035
2022-08-03,CZK,0.04122002
2022-08-15,CZK,0.04121998
2022-08-17,CZK,0.04122015
2022-09-01,CZK,0.04032278
2022-09-02,CZK,0.04032295
2022-09-12,CZK,0.0403223
2022-09-13,CZK,0.04032327
2022-09-19,CZK,0.04032043
2022-09-21,CZK,0.04032253
2022-09-22,CZK,0.04032192
2022-09-29,CZK,0.04032276
2022-10-03,CZK,0.04011224
2022-10-06,CZK,0.04011307
2022-10-10,CZK,0.04011239
2022-10-11,CZK,0.04011236
2022-10-12,CZK,0.04011188
2022-10-19,CZK,0.04011206
2022-10-26,CZK,0.04011236
2022-11-02,CZK,0.04196451
2022-11-09,CZK,0.04196413
2022-11-21,CZK,0.04196385
2022-11-22,CZK,0.04196398
2022-11-23,CZK,0.04196395
2022-11-30,CZK,0.04196358
2022-12-06,CZK,0.04366717
2022-12-13,CZK,0.04366814
2022-12-14,CZK,0.04366736
2022-12-15,CZK,0.04366868
2022-12-19,CZK,0.04366832
2022-12-21,CZK,0.04366809
2022-12-27,CZK,0.04366706
2023-01-03,CZK,0.04504562
2023-01-10,CZK,0.04504584
2023-01-11,CZK,0.0450451
2023-01-16,CZK,0.04504489
2023-01-18,CZK,0.04504445
2023-01-25,CZK,0.04504545
2023-02-01,CZK,0.0451264
2023-02-08,CZK,0.04512657
2023-02-09,CZK,0.04512654
2023-02-14,CZK,0.04512609
2023-02-20,CZK,0.04512674
2023-02-27,CZK,0.04512624
2023-02-28,CZK,0.04512666
2023-03-01,CZK,0.04520911
2023-03-13,CZK,0.04520825
2023-03-15,CZK,0.04520832
2023-03-22,CZK,0.04520795
2023-03-27,CZK,0.04520757
2023-03-29,CZK,0.04520809
2023-03-30,CZK,0.04520812
2023-04-03,CZK,0.04677281
2023-04-05,CZK,0.04677259
2023-04-12,CZK,0.04677306
2023-04-13,CZK,0.04677256
2023-04-17,CZK,0.04677267
2023-04-19,CZK,0.04677277
2023-04-26,CZK,0.04677274
2023-05-09,CZK,0.04601968
2023-05-10,CZK,0.04601933
2023-05-11,CZK,0.04601898
2023-05-12,CZK,0.04601946
2023-05-15,CZK,0.04601893
2023-05-16,CZK,0.04601954
2023-05-25,CZK,0.04602034
2023-05-29,CZK,0.04601942
2023-06-01,CZK,0.04576654
2023-06-02,CZK,0.04576672
2023-06-05,CZK,0.0457667
2023-06-07,CZK,0.04576675
2023-06-15,CZK,0.04576683
2023-06-19,CZK,0.04576671
2023-06-21,CZK,0.04576668
2023-06-27,CZK,0.04576523
2023-06-28,CZK,0.04576669
2023-07-11,CZK,0.04629643
2023-07-12,CZK,0.04629638
2023-07-13,CZK,0.04629586
2023-07-17,CZK,0.04629617
2023-07-19,CZK,0.0462963
2023-07-26,CZK,0.04629633
2023-08-07,CZK,0.04522821
2023-08-09,CZK,0.04522839
2023-08-11,CZK,0.0452282
2023-08-23,CZK,0.04522882
2023-08-28,CZK,0.04522842
2023-08-30,CZK,0.04522839
2023-09-06,CZK,0.04378331
2023-09-13,CZK,0.04378308
2023-09-15,CZK,0.0437827
2023-09-18,CZK,0.04378281
2023-09-20,CZK,0.04378285
2023-09-22,CZK,0.04378275
2023-09-26,CZK,0.04378326
2023-10-04,CZK,0.04299224
2023-10-05,CZK,0.04299234
2023-10-09,CZK,0.04299235
2023-10-12,CZK,0.04299103
2023-10-16,CZK,0.04299202
2023-10-25,CZK,0.0429923
2023-10-30,CZK,0.0429923
2023-11-08,CZK,0.0442283
2023-11-14,CZK,0.04422802
2023-11-15,CZK,0.04422847
2023-11-20,CZK,0.0442283
2023-11-22,CZK,0.04422788
2023-11-24,CZK,0.04422522
2023-12-06,CZK,0.04460347
2023-12-14,CZK,0.04460299
2023-12-15,CZK,0.04460245
2023-12-18,CZK,0.04460291
2023-12-20,CZK,0.04460353
2023-12-21,CZK,0.04460271
2024-01-02,CZK,0.04393628
2024-01-08,CZK,0.04393641
2024-01-09,CZK,0.04393746
2024-01-11,CZK,0.04393653
2024-01-15,CZK,0.04393673
2024-01-16,CZK,0.04393827
2024-01-23,CZK,0.0439368
2024-01-30,CZK,0.04393706
2024-01-31,CZK,0.0439366
2024-02-01,CZK,0.04295566
2024-02-07,CZK,0.04295398
2024-02-14,CZK,0.04295517
2024-02-20,CZK,0.04295573
2024-02-21,CZK,0.04295531
2024-02-22,CZK,0.04295536
2024-02-23,CZK,0.04295502
2024-02-26,CZK,0.04295529
2024-02-28,CZK,0.04295557
2024-02-29,CZK,0.04295508
2024-03-06,CZK,0.0429539
2024-03-07,CZK,0.04295536
2024-03-20,CZK,0.04295551
2024-03-28,CZK,0.04295539
2024-04-05,CZK,0.04242687
2024-04-08,CZK,0.04242682
2024-04-10,CZK,0.04242669
2024-04-17,CZK,0.04242667
2024-04-18,CZK,0.04242679
2024-04-25,CZK,0.04242657
2024-04-30,CZK,0.04242706
2024-05-06,CZK,0.04357287
2024-05-07,CZK,0.04357318
2024-05-09,CZK,0.04357286
2024-05-15,CZK,0.04357282
2024-05-21,CZK,0.04357293
2024-05-28,CZK,0.04357292
2024-05-29,CZK,0.04357289
2024-06-06,CZK,0.04340137
2024-06-10,CZK,0.04340278
2024-06-12,CZK,0.04340279
2024-06-13,CZK,0.04340158
2024-06-19,CZK,0.04340266
2024-07-01,CZK,0.04291825
2024-07-10,CZK,0.04291302
2024-07-15,CZK,0.04291896
2024-07-16,CZK,0.04291822
2024-07-17,CZK,0.04291971
2024-07-24,CZK,0.04291834
2024-08-08,CZK,0.04377898
2024-08-09,CZK,0.04378324
2024-08-12,CZK,0.04378475
2024-08-14,CZK,0.04378277
2024-08-21,CZK,0.04378277
2024-08-26,CZK,0.04378302
2024-08-29,CZK,0.04378297
2024-09-03,CZK,0.04426739
2024-09-04,CZK,0.04426848
2024-09-09,CZK,0.04426719
2024-09-11,CZK,0.04426739
2024-09-17,CZK,0.04426835
2024-09-24,CZK,0.04426793
2024-09-25,CZK,0.044268
2024-10-03,CZK,0.04306618
2024-10-08,CZK,0.04306653
2024-10-14,CZK,0.0430661
2024-10-18,CZK,0.04306629
2024-10-21,CZK,0.04306627
2024-10-24,CZK,0.04306594
2024-10-29,CZK,0.04306625
2024-10-30,CZK,0.04306666
2024-10-31,CZK,0.04306651
2024-11-05,CZK,0.04198195
2024-11-06,CZK,0.04198152
2024-11-07,CZK,0.04198179
2024-11-18,CZK,0.0419823
2024-11-22,CZK,0.04198196
2024-11-25,CZK,0.04198173
2024-11-28,CZK,0.04198155
2024-12-02,CZK,0.04166701
2024-12-04,CZK,0.04166577
2024-12-05,CZK,0.04166667
2024-12-09,CZK,0.04166662
2024-12-10,CZK,0.04166621
2024-12-17,CZK,0.04166717
2024-12-18,CZK,0.04166671
2024-12-19,CZK,0.04166686
2024-12-30,CZK,0.04166681
2025-01-01,CZK,0.04111864
2025-01-13,CZK,0.0411183
2025-01-15,CZK,0.04111862
2025-01-21,CZK,0.04111853
2025-01-28,CZK,0.0411183
2025-01-31,CZK,0.04111828
2025-02-03,CZK,0.04151057
2025-02-10,CZK,0.04150277
2025-02-11,CZK,0.04151157
2025-02-12,CZK,0.04151016
2025-02-18,CZK,0.04151101
2025-02-19,CZK,0.04151113
2025-02-20,CZK,0.04151068
2025-02-24,CZK,0.04151141
2025-02-27,CZK,0.04151122
2025-03-03,CZK,0.04317811
2025-03-04,CZK,0.04317769
2025-03-05,CZK,0.04317802
2025-03-06,CZK,0.0431779
2025-03-28,CZK,0.04317818
2025-03-31,CZK,0.04317754
2025-04-01,CZK,0.04482355
2025-04-02,CZK,0.04482349
2025-04-08,CZK,0.04482279
2025-04-09,CZK,0.0448233
2025-04-17,CZK,0.04482243
2025-04-23,CZK,0.04482258
2025-04-24,CZK,0.04482304
2025-04-25,CZK,0.04482324
2025-04-28,CZK,0.04482332
2025-05-02,CZK,0.04524849
2025-05-06,CZK,0.04524883
2025-05-07,CZK,0.045249
2025-05-12,CZK,0.04524908
2025-05-13,CZK,0.04524914
2025-05-14,CZK,0.0452482
2025-05-15,CZK,0.04524858
2025-05-16,CZK,0.04524607
2025-05-20,CZK,0.04524889
2025-05-21,CZK,0.0452488
2025-05-28,CZK,0.0452502
2025-06-02,CZK,0.04649057
2025-06-03,CZK,0.04649053
2025-06-04,CZK,0.04649031
2025-06-11,CZK,0.04648995
2025-06-12,CZK,0.04648977
2025-06-16,CZK,0.04649008
2025-06-23,CZK,0.04649117
2025-07-01,CZK,0.04746089
2025-07-02,CZK,0.04746102
2025-07-03,CZK,0.04746099
2025-07-07,CZK,0.04746038
2025-07-09,CZK,0.04746066
2025-07-10,CZK,0.04746046
2025-07-14,CZK,0.04746114
2025-07-15,CZK,0.04746183
2025-07-21,CZK,0.04746101
2025-07-22,CZK,0.04746047
2025-07-29,CZK,0.04746039
2025-07-30,CZK,0.04746084
2025-08-05,CZK,0.04757392
2025-08-06,CZK,0.04757347
2025-08-20,CZK,0.04757411
2025-08-25,CZK,0.04757398
2025-08-27,CZK,0.04757473
2025-09-09,CZK,0.04821582
2025-09-10,CZK,0.04821595
2025-09-23,CZK,0.04821569
2025-09-24,CZK,0.04821618
2025-10-07,CZK,0.047893
2025-10-08,CZK,0.04789286
2025-10-13,CZK,0.04789333
2025-10-14,CZK,0.04789302
2025-10-15,CZK,0.04789249
2025-10-21,CZK,0.04789387
2025-10-22,CZK,0.04789217
2025-10-23,CZK,0.04788956
2025-11-06,CZK,0.04771005
2025-11-07,CZK,0.0477101
2025-11-11,CZK,0.04770962
2025-11-12,CZK,0.0477102
2025-11-13,CZK,0.04770974
2025-11-24,CZK,0.04771025
2025-11-25,CZK,0.04770956
2025-12-01,CZK,0.04828585
2025-12-03,CZK,0.04828631
2025-12-09,CZK,0.0482859
2025-12-10,CZK,0.04828559
2025-12-17,CZK,0.04828587
2025-12-19,CZK,0.04828591
2026-01-14,CZK,0.04837932
2026-01-15,CZK,0.04837933
2026-01-16,CZK,0.04837943
2026-01-19,CZK,0.04837906
2026-01-20,CZK,0.04837932
2026-01-27,CZK,0.04837938
2026-01-28,CZK,0.0483792
2026-02-20,CZK,0.04875678
2026-02-24,CZK,0.04875665
2026-02-25,CZK,0.04875673
2026-02-26,CZK,0.04875659
2026-03-03,CZK,0.0472806
2026-03-11,CZK,0.04728255
2026-03-12,CZK,0.04728104
2026-03-20,CZK,0.04728146
2026-03-23,CZK,0.04728121
2026-03-24,CZK,0.04728043
2026-03-25,CZK,0.04728098
2018-01-02,EUR,1.2345647
2018-01-03,EUR,1.23456835
2018-01-04,EUR,1.23456845
2018-01-05,EUR,1.23457016
2018-01-08,EUR,1.23456618
2018-01-09,EUR,1.23457032
2018-01-10,EUR,1.23456668
2018-01-11,EUR,1.23456943
2018-01-12,EUR,1.23456428
2018-01-15,EUR,1.23456777
2018-01-16,EUR,1.23456902
2018-01-17,EUR,1.23456652
2018-01-18,EUR,1.23456776
2018-01-19,EUR,1.23456931
2018-01-22,EUR,1.23456764
2018-01-23,EUR,1.23456999
2018-01-24,EUR,1.23457043
2018-01-25,EUR,1.23456676
2018-01-29,EUR,1.23456869
2018-01-30,EUR,1.23456524
2018-01-31,EUR,1.23456941
2018-02-01,EUR,1.2345674
2018-02-02,EUR,1.23457329
2018-02-05,EUR,1.23457055
2018-02-06,EUR,1.23456787
2018-02-07,EUR,1.23456879
2018-02-08,EUR,1.23456928
2018-02-09,EUR,1.23456842
2018-02-12,EUR,1.23456759
2018-02-13,EUR,1.23456716
2018-02-14,EUR,1.2345616
2018-02-15,EUR,1.23456678
2018-02-16,EUR,1.23456715
2018-02-19,EUR,1.23456995
2018-02-20,EUR,1.23456906
2018-02-21,EUR,1.23456784
2018-02-22,EUR,1.23457287
2018-02-23,EUR,1.23456817
2018-02-26,EUR,1.23456833
2018-02-27,EUR,1.23456837
2018-02-28,EUR,1.23456622
2018-03-01,EUR,1.23456356
2018-03-05,EUR,1.23456712
2018-03-06,EUR,1.23456724
2018-03-07,EUR,1.23456968
2018-03-08,EUR,1.23456925
2018-03-09,EUR,1.23457078
2018-03-12,EUR,1.23456986
2018-03-13,EUR,1.23457076
2018-03-14,EUR,1.23456845
2018-03-15,EUR,1.2345707
2018-03-16,EUR,1.23456805
2018-03-19,EUR,1.23456675
2018-03-20,EUR,1.23457186
2018-03-21,EUR,1.23456866
2018-03-22,EUR,1.23457016
2018-03-23,EUR,1.23456708
2018-03-26,EUR,1.23456829
2018-03-27,EUR,1.23456893
